depth_param,measured_depth,seed,architecture,nrmse_slow,nrmse_fast
0.6,1.3249928219051237,5,serial_force,0.47120886308335674,0.8704238885741667
0.6,1.3249928219051237,5,parallel,0.3873212146435883,0.8960163097470157
0.6,1.3249928219051237,5,all_optical,0.7127511609401798,0.8631910281102303
0.6,1.3249928219051237,5,esn_matched,0.3637949411556048,0.8083948226499129
0.6,1.3249928219051237,6,serial_force,0.32414475038222335,0.8702237376643773
0.6,1.3249928219051237,6,parallel,0.40342713412779246,0.896080195293772
0.6,1.3249928219051237,6,all_optical,0.6977490753076357,0.8446522824255289
0.6,1.3249928219051237,6,esn_matched,0.3709564477518164,0.7961090015332488
1.0,2.0042512586607644,1,serial_force,0.3380762981147203,0.882446779627146
1.0,2.0042512586607644,1,parallel,0.34001415974700444,0.9819368762457121
1.0,2.0042512586607644,1,all_optical,0.7047496603947296,0.8784895576765082
1.0,2.0042512586607644,1,esn_matched,0.36146684604654,0.8651274333841452
1.0,2.0042512586607644,2,serial_force,0.3287242522265938,0.8783373698827396
1.0,2.0042512586607644,2,parallel,0.3327286161894218,0.9386665626948465
1.0,2.0042512586607644,2,all_optical,0.7357569234427201,0.8161245846257552
1.0,2.0042512586607644,2,esn_matched,0.3620082472239034,0.8594864012803327
1.0,2.0042512586607644,3,serial_force,0.3757618866575689,0.874589385285916
1.0,2.0042512586607644,3,parallel,0.3679822733804587,0.9776854573957767
1.0,2.0042512586607644,3,all_optical,0.7177106869804823,0.8685309658006704
1.0,2.0042512586607644,3,esn_matched,0.35094583971346155,0.8621910445099098
1.0,2.0042512586607644,4,serial_force,0.3215407826941749,0.879944859043675
1.0,2.0042512586607644,4,parallel,0.397993888055694,0.9348252297641577
1.0,2.0042512586607644,4,all_optical,0.7028762917426972,0.8520135772394812
1.0,2.0042512586607644,4,esn_matched,0.36454965155408997,0.8476633504988471
1.0,2.0042512586607644,5,serial_force,0.47120886308335674,0.860562501083019
1.0,2.0042512586607644,5,parallel,0.3873212146435883,0.8939341252466296
1.0,2.0042512586607644,5,all_optical,0.7127511609401798,0.857211344645188
1.0,2.0042512586607644,5,esn_matched,0.3637949411556048,0.8538087826185307
1.0,2.0042512586607644,6,serial_force,0.32414475038222335,0.8639836445933519
