config_id,architecture,task,optical_theta,acoustic_c,n_reservoir,readout_reg,theta2,nrmse_primary,nrmse_slow,nrmse_fast,nrmse_std,ci_95,n_successful,n_total
125,parallel,narma10,1.0,0.3,300,1e-06,N/A,0.7114,0.7114,N/A,0.0261,0.0324,5,5
126,all_optical,dual_timescale,1.0,0.3,300,1e-06,0.5,0.7200,0.3561,0.7200,0.0337,0.0419,5,5
127,all_optical,mackey_glass,1.0,0.3,300,1e-06,0.5,0.0120,0.0120,N/A,0.0024,0.0029,5,5
128,all_optical,narma10,1.0,0.3,300,1e-06,0.5,0.8167,0.8167,N/A,0.0190,0.0235,5,5
129,all_optical,dual_timescale,1.0,0.3,300,1e-06,3.0,0.7220,0.3528,0.7220,0.0333,0.0414,5,5
130,all_optical,mackey_glass,1.0,0.3,300,1e-06,3.0,0.0119,0.0119,N/A,0.0022,0.0027,5,5
131,all_optical,narma10,1.0,0.3,300,1e-06,3.0,0.8167,0.8167,N/A,0.0192,0.0239,5,5
132,serial_force,dual_timescale,1.0,0.3,300,0.001,N/A,0.8129,0.2525,0.8129,0.0376,0.0467,5,5
133,serial_force,mackey_glass,1.0,0.3,300,0.001,N/A,0.0411,0.0411,N/A,0.0069,0.0085,5,5
134,serial_force,narma10,1.0,0.3,300,0.001,N/A,0.7130,0.7130,N/A,0.0274,0.0340,5,5
135,parallel,dual_timescale,1.0,0.3,300,0.001,N/A,0.8278,0.2252,0.8278,0.0188,0.0234,5,5
136,parallel,mackey_glass,1.0,0.3,300,0.001,N/A,0.0427,0.0427,N/A,0.0076,0.0094,5,5
137,parallel,narma10,1.0,0.3,300,0.001,N/A,0.7112,0.7112,N/A,0.0282,0.0350,5,5
138,all_optical,dual_timescale,1.0,0.3,300,0.001,0.5,0.8323,0.4398,0.8323,0.0297,0.0369,5,5
139,all_optical,mackey_glass,1.0,0.3,300,0.001,0.5,0.0375,0.0375,N/A,0.0053,0.0066,5,5
140,all_optical,narma10,1.0,0.3,300,0.001,0.5,0.8195,0.8195,N/A,0.0186,0.0230,5,5
141,all_optical,dual_timescale,1.0,0.3,300,0.001,3.0,0.8322,0.4383,0.8322,0.0297,0.0369,5,5
142,all_optical,mackey_glass,1.0,0.3,300,0.001,3.0,0.0363,0.0363,N/A,0.0056,0.0070,5,5
143,all_optical,narma10,1.0,0.3,300,0.001,3.0,0.8195,0.8195,N/A,0.0185,0.0230,5,5
144,serial_force,dual_timescale,1.0,1.0,100,1e-06,N/A,0.7716,0.1215,0.7716,0.0272,0.0338,5,5
145,serial_force,mackey_glass,1.0,1.0,100,1e-06,N/A,0.0122,0.0122,N/A,0.0013,0.0016,5,5
146,serial_force,narma10,1.0,1.0,100,1e-06,N/A,0.6413,0.6413,N/A,0.0360,0.0446,5,5
147,parallel,dual_timescale,1.0,1.0,100,1e-06,N/A,0.7766,0.0845,0.7766,0.0283,0.0352,5,5
148,parallel,mackey_glass,1.0,1.0,100,1e-06,N/A,0.0160,0.0160,N/A,0.0031,0.0039,5,5
149,parallel,narma10,1.0,1.0,100,1e-06,N/A,0.6574,0.6574,N/A,0.0286,0.0355,5,5
150,all_optical,dual_timescale,1.0,1.0,100,1e-06,0.5,0.7939,0.4198,0.7939,0.0471,0.0584,5,5
151,all_optical,mackey_glass,1.0,1.0,100,1e-06,0.5,0.0143,0.0143,N/A,0.0016,0.0020,5,5
152,all_optical,narma10,1.0,1.0,100,1e-06,0.5,0.8190,0.8190,N/A,0.0174,0.0216,5,5
153,all_optical,dual_timescale,1.0,1.0,100,1e-06,3.0,0.7798,0.4078,0.7798,0.0405,0.0502,5,5
154,all_optical,mackey_glass,1.0,1.0,100,1e-06,3.0,0.0133,0.0133,N/A,0.0015,0.0019,5,5
155,all_optical,narma10,1.0,1.0,100,1e-06,3.0,0.8146,0.8146,N/A,0.0214,0.0266,5,5
156,serial_force,dual_timescale,1.0,1.0,100,0.001,N/A,0.8012,0.1812,0.8012,0.0304,0.0377,5,5
157,serial_force,mackey_glass,1.0,1.0,100,0.001,N/A,0.0416,0.0416,N/A,0.0038,0.0047,5,5
158,serial_force,narma10,1.0,1.0,100,0.001,N/A,0.6503,0.6503,N/A,0.0360,0.0448,5,5
159,parallel,dual_timescale,1.0,1.0,100,0.001,N/A,0.8163,0.1189,0.8163,0.0294,0.0365,5,5
160,parallel,mackey_glass,1.0,1.0,100,0.001,N/A,0.0438,0.0438,N/A,0.0052,0.0065,5,5
161,parallel,narma10,1.0,1.0,100,0.001,N/A,0.6708,0.6708,N/A,0.0270,0.0336,5,5
162,all_optical,dual_timescale,1.0,1.0,100,0.001,0.5,0.8738,0.4898,0.8738,0.0383,0.0475,5,5
163,all_optical,mackey_glass,1.0,1.0,100,0.001,0.5,0.0427,0.0427,N/A,0.0034,0.0042,5,5
164,all_optical,narma10,1.0,1.0,100,0.001,0.5,0.8254,0.8254,N/A,0.0170,0.0212,5,5
165,all_optical,dual_timescale,1.0,1.0,100,0.001,3.0,0.8539,0.4780,0.8539,0.0360,0.0447,5,5
166,all_optical,mackey_glass,1.0,1.0,100,0.001,3.0,0.0405,0.0405,N/A,0.0063,0.0078,5,5
167,all_optical,narma10,1.0,1.0,100,0.001,3.0,0.8195,0.8195,N/A,0.0223,0.0276,5,5
168,serial_force,dual_timescale,1.0,1.0,300,1e-06,N/A,0.7172,0.1450,0.7172,0.0308,0.0382,5,5
169,serial_force,mackey_glass,1.0,1.0,300,1e-06,N/A,0.0115,0.0115,N/A,0.0018,0.0022,5,5
170,serial_force,narma10,1.0,1.0,300,1e-06,N/A,0.6295,0.6295,N/A,0.0422,0.0524,5,5
171,parallel,dual_timescale,1.0,1.0,300,1e-06,N/A,0.7248,0.0847,0.7248,0.0319,0.0397,5,5
172,parallel,mackey_glass,1.0,1.0,300,1e-06,N/A,0.0134,0.0134,N/A,0.0024,0.0029,5,5
173,parallel,narma10,1.0,1.0,300,1e-06,N/A,0.6567,0.6567,N/A,0.0286,0.0355,5,5
174,all_optical,dual_timescale,1.0,1.0,300,1e-06,0.5,0.7200,0.3561,0.7200,0.0337,0.0419,5,5
175,all_optical,mackey_glass,1.0,1.0,300,1e-06,0.5,0.0120,0.0120,N/A,0.0024,0.0029,5,5
176,all_optical,narma10,1.0,1.0,300,1e-06,0.5,0.8167,0.8167,N/A,0.0190,0.0235,5,5
177,all_optical,dual_timescale,1.0,1.0,300,1e-06,3.0,0.7220,0.3528,0.7220,0.0333,0.0414,5,5
178,all_optical,mackey_glass,1.0,1.0,300,1e-06,3.0,0.0119,0.0119,N/A,0.0022,0.0027,5,5
179,all_optical,narma10,1.0,1.0,300,1e-06,3.0,0.8167,0.8167,N/A,0.0192,0.0239,5,5
180,serial_force,dual_timescale,1.0,1.0,300,0.001,N/A,0.7877,0.1873,0.7877,0.0265,0.0328,5,5
181,serial_force,mackey_glass,1.0,1.0,300,0.001,N/A,0.0377,0.0377,N/A,0.0055,0.0069,5,5
182,serial_force,narma10,1.0,1.0,300,0.001,N/A,0.6417,0.6417,N/A,0.0359,0.0446,5,5
183,parallel,dual_timescale,1.0,1.0,300,0.001,N/A,0.7999,0.1194,0.7999,0.0294,0.0365,5,5
184,parallel,mackey_glass,1.0,1.0,300,0.001,N/A,0.0413,0.0413,N/A,0.0073,0.0090,5,5
185,parallel,narma10,1.0,1.0,300,0.001,N/A,0.6672,0.6672,N/A,0.0266,0.0331,5,5
186,all_optical,dual_timescale,1.0,1.0,300,0.001,0.5,0.8323,0.4398,0.8323,0.0297,0.0369,5,5
187,all_optical,mackey_glass,1.0,1.0,300,0.001,0.5,0.0375,0.0375,N/A,0.0053,0.0066,5,5
188,all_optical,narma10,1.0,1.0,300,0.001,0.5,0.8195,0.8195,N/A,0.0186,0.0230,5,5
189,all_optical,dual_timescale,1.0,1.0,300,0.001,3.0,0.8322,0.4383,0.8322,0.0297,0.0369,5,5
190,all_optical,mackey_glass,1.0,1.0,300,0.001,3.0,0.0363,0.0363,N/A,0.0056,0.0070,5,5
191,all_optical,narma10,1.0,1.0,300,0.001,3.0,0.8195,0.8195,N/A,0.0185,0.0230,5,5
